collect_day,good_id,pum_id,pum_name,good_name,sales_price,discount_price,benifit
2018-06-01,2096911434,C011030,남자학생복,FSSF18017 가로배색 셔츠 기본남성셔츠 남자기본셔츠,38000,37620,-380
2018-06-01,1778707701,L021020,장신구,[바보사랑]CTN-10202,70000,70000,0
2018-06-01,946851578,E011030,거실장,블리스 화장대/거실장/장식장/수납장/TV장/TV대,33900,30900,-3000
2018-06-01,988900178,F011150,건강기능식품,종근당 어린이 홍삼 20ml X 30포,35000,29900,-5100
2018-06-01,751104776,C012020,원피스,[로엠][로엠] (앵커) 자켓형 코트 RMJH811100,69300,60300,-9000
2018-06-01,988900176,F011150,건강기능식품,종근당 칼슘 마그네슘 360정 6개월분,39000,20900,-18100
2018-06-01,1537555338,F012030,안경,최신모델/안경테/빅사이즈/라식라섹/UV선글라스,20000,19800,-200
2018-06-01,734007352,E021010,침구,[뜨란채]누빔커버 요매트 세트/요커버+요솜/누빔 요매트 디럭스 싱글,52800,51220,-1580
2018-06-01,2089089292,E061010,세탁세제,[화야] 세탁세제/섬유유연제 가정용/업소용/말통/락스,7490,7490,0
2018-06-01,1448181066,A017160,오이,착한송이버섯(송향) 고급형500G,23000,20700,-2300
2018-06-01,997895115,A016060,감,프리미엄 1호 40개 1.9kg~2.2kg 반건시/감말랭이/반건,93600,93600,0
2018-06-01,1260630644,A019020,참깨,볶음참깨 (삼진 1k) X10,106240,94560,-11680
2018-06-01,2020008425,A018040,아이스크림,(롯데제과)본젤라또프리미엄바닐라아이스크림5리터,25000,25000,0
2018-06-01,2123873352,C013030,스웨터,DTG1521 오비 빅 니트 803 패션용루즈핏니트 여성루즈,51110,51110,0
2018-06-01,474743788,C012040,여자학생복,[톰앤래빗] 스트라이프린넨셔츠(2color) 셔츠/남방,29800,29800,0
2018-06-01,1808192857,A016120,바나나,다이아몬드 필리핀 바나나 13kg,27900,27900,0
2018-06-01,379184413,C013010,점퍼,18 FW 신상 헬리오스 다운재킷 KEF2004 ./ 네파키즈,159000,135150,-23850
2018-06-01,1723998802,C011030,남자학생복,[지오다노] 348503 여 포플린 루즈핏 셔츠/ 지오다노,19000,15390,-3610
2018-06-01,1857041322,A022050,탄산음료,탑씨 1.5/페트음료/탄산음료/콜라/사이다/음료수,11400,11400,0
2018-06-01,1804741651,E031040,전기레인지,데이킵스 냉장고정리 8P,28780,28780,0
2018-06-01,1778707723,L021020,장신구,[바보사랑]CTN-10314-1,70000,70000,0
2018-06-01,1778707724,L021020,장신구,[바보사랑]CTN-10366-W,60000,60000,0
2018-06-01,1822906118,C013020,티셔츠,폴로 아베크롬비 홀리스터맨투맨라운드티주니어긴팔티,34900,34900,0
2018-06-01,1778707725,L021020,장신구,[바보사랑]CTN-10366-P,60000,60000,0
2018-06-01,366103654,C014020,유아복,아동바지 플라워통바지 KIDBOK-200 긴아동바지 통바지,16940,16440,-500
2018-06-01,1239938142,E041020,컵,인증받은 포토 머그컵 결혼 선물 답례품 주문제작,6800,6800,0
2018-06-01,666021688,A011130,시리얼,백설 부침가루 1kgx10개,27180,27180,0
2018-06-01,505644093,C013020,티셔츠,격자무늬니트뷔스티에/슬리브리스/끈나시/크롭나시,6900,6900,0
2018-06-01,1034247609,A018070,파이,롯데제과 몽쉘2종+초코파이_총4개,21000,9900,-11100
2018-06-01,956846867,A022030,생수,[롯데]롯데 아이시스8.0 (500ML*20개입),8600,7000,-1600
2018-06-01,2088281187,A012060,햄및베이컨,(냉동)사조남부햄 베이콘(베이컨)1kgX8개 사조남부햄,181300,181300,0
2018-06-01,988900154,F011150,건강기능식품,종근당 N아세틸글루코사민 90정 3개월분,39000,25000,-14000
2018-06-01,64893125,C011050,남자내의,[지오다노][롯데특가] 남녀 여름 버뮤다 팬츠 묶음 택1/ 지오다노,14000,11340,-2660
2018-06-01,742108274,A011090,국수,동남아라면 베트남쌀국수 미고랭 포보 태국 수입/라면,570,570,0
2018-06-01,353433983,A012010,국산쇠고기,대관령한우 스페셜 3호,294330,294330,0
2018-06-01,532350141,C013010,점퍼,핸드메이드 BU무스탕 카라탈부착 스타일엔터 메리노베이비 무스탕자켓 남자무스탕점퍼,960000,960000,0
2018-06-01,1264967151,C014010,아동복,[네파키즈] 18SS 네오프린트 믹스바람막이 KED0603(본점),69000,63590,-5410
2018-06-01,2003768717,C012060,여자내의,밴딩 기모 가죽 바지 레깅스 팬츠 스키니 여성 여자,18960,18960,0
2018-06-01,1189603661,E041050,냄비,신일 업소용 통3중 전골냄비 스텐냄비 모음,18500,18130,-370
2018-06-01,35945076,A018100,꿀,생 로얄제리 1kg/대용량/꿀/건강식품/효도선물,82000,82000,0
2018-06-01,988900151,F011150,건강기능식품,종근당 쏘팔메토 골드업 3개월분 500mg 90SC,45000,27900,-17100
2018-06-01,1992771632,C013020,티셔츠,아베크롬비 여성 85 깊은 브이넥 면 티 신축성 춘추,26440,26440,0
2018-06-01,1218107200,A013070,굴,노바시새우 30미 300g / 노바시 튀김새우 새우튀김,7600,7600,0
2018-06-01,566554782,C013040,청바지,캐주얼 스트레이트 트레이닝 팬츠_QATPX1811GR/ 베네통키즈,29000,21750,-7250
2018-06-01,404612452,C013010,점퍼,[대구백화점 I관] [HUM]오버 숄더 박스핏 점퍼(FHMECUN501M),79900,65520,-14380
2018-06-01,10067983,A022010,주스,포도주스(롯데 1.5L)X12/ 식자재 전문,63500,63500,0
2018-06-01,1373358699,C013020,티셔츠,[필골드] SL3002n3004 폴라 티셔츠 6종중택일,25800,25800,0
2018-06-01,223512714,C013010,점퍼,몽클레어 17FW 집업 84960 00 8098W 778,755100,755100,0
2018-06-01,1608282554,L021020,장신구,실버)볼 포인트 목걸이 20대 30대 선물 추천 기념일,21880,21880,0
2018-06-01,693818329,C011030,남자학생복,여름신상 솔리드남방 7부 스판 반팔셔츠 50여종 체크,14700,14700,0
2018-06-01,1052344897,C013050,운동복,아이스쿨 고탄력바지/트레이닝바지/운동복/헬스복,9900,9900,0
2018-06-01,2073934914,C013010,점퍼,남자청자켓 기획 포켓 워싱 데님자켓 데님자켓 캐주얼,28190,28190,0
2018-06-01,1315019640,I011030,사진기,니콘 D810 정품 최신시리얼 새상품+이벤트 명품마을,2548700,2548700,0
2018-06-01,1230863538,I012010,컴퓨터,대우루컴즈 Q265FU 리니지M 롤 피파 게이밍 컴퓨터,385000,375000,-10000
2018-06-01,451115893,A019010,고춧가루,B고운 보통맛 고추가루 1kg2개 가루 고추가루 고운고,37220,33500,-3720
2018-06-01,617483682,I031010,장난감,[야야] 폴리 소프트 지붕차 헬로키티 소프트 지붕차,81700,76800,-4900
2018-06-01,2059813006,C014010,아동복,[꼬망스]여아레이소프트프릴윙티셔츠(C1821T157_21),21700,19530,-2170
2018-06-01,1149708451,L021030,가방,남성가방 서류가방 캐쥬얼 브리프케이스 C1450,17600,17600,0
2018-06-01,1992771688,C013020,티셔츠,폴로 여성 85 긴팔 라운드 면 스판 티 봄 가을 굿,16750,16750,0
2018-06-01,1745578498,A013170,생선통조림,(유동공식몰)순살왕꼬막+왕꼬막n골뱅이280g,9900,9900,0
2018-06-01,2039226862,I053030,복사용지,스마트카피 A4 복사용지(A4용지) 80g 2500매 2BOX,40110,34500,-5610
2018-06-01,1583321486,C013020,티셔츠,(4926상)랩스타일 산전산후 수유가능한 면스판 임부상,17700,17170,-530
2018-06-01,504262797,E031010,전기밥솥,쿠쿠 내솥 CRP-HNXT107FW 빠른배송,61950,61950,0
2018-06-01,1537459441,E021010,침구,금주특가}청량감 좋은 여름이불세트/누빔이불+베개,25000,16900,-8100
2018-06-01,1344325104,C013040,청바지,피핀 드벤시 일자 밴딩진 #73515/ 피핀,25200,19910,-5290
2018-06-01,1120270116,E031080,선풍기,이노크아든_ 콘센트형 미니 온풍기 IA-WH500W (490w),39800,39800,0
2018-06-01,1120270115,E031080,선풍기,신일 컨벡션히터 SEH-C200MH,105000,105000,0
2018-06-01,1364916561,A011170,떡,[모시로만]모싯잎깨송편10개(400g) x 6팩,34900,31410,-3490
2018-06-01,1113119040,I031040,생화,휴몬트무릎보호대/등산용품/관절보호대/무릎보호대,9900,9900,0
2018-06-01,853187756,A018080,설탕,정품100% 스테비아 1kg/최신5월미국직수입(홈쇼핑),28700,28700,0
2018-06-01,900391990,E061020,섬유유연제,[아토세이프] 유아용 섬유 유연제 (2L*4개),21900,10900,-11000
2018-06-01,540343175,E061100,습기제거제,신발냄새제거/깔창/신발깔창/부츠/탈취제/발냄새/운동화끈/운동화/신발건조기/구두/스,8000,7900,-100
2018-06-01,539043659,A013170,생선통조림,라이트100g*15캔+들기름김식탁김6봉+카놀라유500ml,22900,22900,0
2018-06-01,47475777,I011010,TV,(할인특가)모넥스 65인치 커브드 UHD TV 삼성패널,759000,759000,0
2018-06-01,2124454778,C012040,여자학생복,수지네 일본 구제 브라운 패딩조끼 여성 M 17-43,13670,13670,0
2018-06-01,2088354683,C021040,실내화,PUMA 푸마 여성 메쉬 스니커즈 2종 택1,59000,26900,-32100
2018-06-01,1056080038,E031070,에어컨,[신일산업] 타워팬 타워형선풍기 신일 선풍기 SIF-DS80,55000,52250,-2750
2018-06-01,1121644621,C011050,남자내의,[캘빈클라인진] 남성 스퀘어 반팔티셔츠(4AOKQ93),35100,29490,-5610
2018-06-01,385501881,C011030,남자학생복,자이언트 프린팅 오픈카라 반팔셔츠,32580,30630,-1950
2018-06-01,986309172,A019180,즉석식품,CJ햇반 컵반 고추장나물비빔밥 229G,2580,2380,-200
2018-06-01,1717190962,A014020,분유,[아이배냇] 순산양유아식 4단계 800g,32900,32900,0
2018-06-01,19961581,C011030,남자학생복,[TI FOR MEN] 티아이포맨 모혼방 스트라이프 버튼 베,18100,15930,-2170
2018-06-01,1154026158,C013010,점퍼,(보니알렉스) 코튼 집업 점퍼(BBUZ600A)/ 보니알렉스,23800,21420,-2380
2018-06-01,1216707322,A016060,감,달콤샤르르 자연그대로 만든 아이스 홍시 100개(컵)/,118050,106250,-11800
2018-06-01,1120270149,E031130,보온매트,이노크아든_ 항균 워셔블 온열매트 해피니스/퀸더블(투난방) IA-EMF8002D,89600,89600,0
2018-06-01,1120270148,E031130,보온매트,이노크아든_ 항균 워셔블 온열매트 해피니스/더블(원난방) IA-EMF8000D,80100,80100,0
2018-06-01,417622906,A011140,부침가루,스틱치즈케익/플레인/블루베리/초코/고구마,14000,14000,0
2018-06-01,1883887267,F012020,생리대,좋은느낌 좋은순면 19매X3팩 구성 견본증정,13500,13500,0
2018-06-01,1120270147,E031130,보온매트,이노크아든_ 항균 워셔블 온열매트 해피니스/싱글 IA-EMF8000S,70500,70500,0
2018-06-01,1120270146,E031130,보온매트,이노크아든_ 항균 워셔블 온열매트 해피니스/미니싱글 IA-EMF8000S,59500,59500,0
2018-06-01,986309174,A019180,즉석식품,CJ햇반 컵반 강된장보리비빔밥 280G,2580,2380,-200
2018-06-01,481470195,E011060,의자,2018년 신형 펠비스튜너 바른자세방석 골반 방석 학생,36800,36800,0
2018-06-01,1322131037,E061040,부엌용세제,NEW프릴주방세제2개/다양한구성/주방세제/참그린,9200,9200,0
2018-06-01,511853174,A012050,소시지,[칼집 낸]모듬 빌소시지 1kg/5가지맛/청양고추/불갈비,7900,7900,0
2018-06-01,1373356002,C013020,티셔츠,[필골드] SL3003 탐 라인 폴라 티셔츠,22800,22800,0
2018-06-01,1603446560,C011030,남자학생복,롤프 남성 롱가디건 골지 숄 간절기 아우터 외투 자켓,44500,44500,0
2018-06-01,562985809,E011050,책상,코너높이조절책상R 블랙브라운 블랙 베칸트 160x110 c,1168670,1040120,-128550
2018-06-01,1790560590,F012020,생리대,NEW 템포 레귤러 10매x1박스+슈퍼10매x3박스(총40매)/ 템포,14700,13820,-880
2018-06-01,553088440,C011030,남자학생복,[지오다노]남 저지 루즈핏 엘보슬리브 티 027901S,10000,8000,-2000
2018-06-01,494599402,C012060,여자내의,(더틸버리) 데님 집업 스커트 TI4M0SK53/ 더틸버리,63200,56880,-6320
2018-06-01,1790560592,F012020,생리대,NEW 템포 슈퍼 10매 x 4박스(총40매)/ 템포,14700,13680,-1020
2018-06-01,1053297872,A016100,수박,[신세계몰][K-애플수박] 사과처럼 깎아먹는 고당도 미니애플수박 2.5kg내외(2~3입),20600,20600,0
2018-06-01,1739479836,A019110,드레싱,움트리 매운닭발양념 제육볶음양념 포천소불고기양념,8000,8000,0
2018-06-01,950516465,E061030,전구,LG칩 LED형광등 PL 36W 55W 대체 LED전구 조명 방등,9450,9450,0
2018-06-01,877778506,A011090,국수,농심 육개장사발면/김치사발면 86gx24개 골라담기,15900,15900,0
2018-06-01,952881966,A011090,국수,[농심]농심 올리브 짜파게티140G*5입*8팩,31120,31120,0
2018-06-01,1527525639,C013050,운동복,트레이닝복세트/운동복/트레이닝복/츄리닝/여자,26800,26800,0
2018-06-01,1412627697,C013010,점퍼,영문후드지퍼야상/오버핏/박스핏/트렌치코트/사파리..,15900,15900,0
2018-06-01,1596054770,C021040,실내화,윌슨 엠플리필 amplifeel 테니스화(WRS322840) 차콜,218120,185410,-32710
2018-06-01,210781521,E031020,가스레인지,SK매직 GOR-S2200안심센서 가스오븐+4구레인지+그릴,604400,568140,-36260
2018-06-01,282588961,I031040,생화,360도 회전의자/캠핑의자/접이식의자/낚시의자/레져,39900,36710,-3190
2018-06-01,350250519,C012060,여자내의,SK1030-데일리 20대 30대 예쁜스커트 사각 체크 모직,20480,20480,0
2018-06-01,411003343,C012060,여자내의,KD 아그네 투피스 SET 니트스커트 겨울정장 여성의류,97970,97970,0
2018-06-01,492695660,C012040,여자학생복,[블루종]물결 밑단 그물망 니트_[B1806KN3732B]/ 블루종,24500,19600,-4900
2018-06-01,355504537,C012040,여자학생복,빅사이즈민짱/핫한셔츠남방모음/블라우스/스트라이프,30900,30900,0
2018-06-01,492695663,C012060,여자내의,[블루종]뮤즈 나염 텐션 스커트_[B1806SK071B]/ 블루종,62000,49600,-12400
2018-06-01,492695662,C012060,여자내의,[블루종]옆리본 린넨 나염 스커트_[B1806SK072B]/ 블루종,49800,39840,-9960
2018-06-01,352492515,C014020,유아복,아동 유아 러블리 반팔 티셔츠 브이 셔링티 15~17호,13900,13900,0
2018-06-01,1245704822,A017210,파,새콤달콤 찰 토마토 3Kg/5Kg,9900,8900,-1000
2018-06-01,421684398,I031040,생화,접이식 캠핑의자 낚시 미니의자 등산 간이보조 야외,1900,1700,-200
2018-06-01,1534230640,C014020,유아복,[디플랜][디플랜] 라인나염티셔츠 O WHITE,5000,4750,-250
2018-06-01,1371466819,F012020,생리대,(청결티슈증정) 시크릿데이 NEW러브&러브코튼 생리대,9900,9900,0
2018-06-01,438263752,C012040,여자학생복,(예사랑)여성 인견 블라우스 16YB01,79000,78210,-790
2018-06-01,892714143,C011030,남자학생복,[인터페이스] 가볍게 걸치는 니트/가디건/후리스 모든,17700,17700,0
2018-06-01,1276111657,C012030,여자상의,oo01 7부소매 스트랩 단가라 ops - 오렌지 7부원피스,19560,19560,0
2018-06-01,1126201311,C013010,점퍼,[모다아울렛][YK]쉬폰 레이스샤링점퍼Y182c114a,49900,44910,-4990
2018-06-01,1773943070,C013010,점퍼,카모시스루집업/망사집업/밀리터리집업/프린트자켓,7900,7900,0
2018-06-01,1455597941,I031010,장난감,북미 PSN 플레이스테이션 네트워크 카드 20달러 코드,29900,29900,0
2018-06-01,1069582319,C012020,원피스,[패션플러스][ego(에고)]주머니장식 캐시미어 롱베스트 EPCKVE027,59000,56050,-2950
2018-06-01,168474969,L021020,장신구,초커목걸이 체인초커 가죽초커 레이스초커 태슬초커 F,12950,12950,0
2018-06-01,492695656,C012040,여자학생복,[블루종]썸머 카사리 가오리 니트_[B1806KN097B]/ 블루종,16000,12800,-3200
2018-06-01,214580779,A019090,카레,[3 000원쿠폰]오뚜기 3분카레/짜장 200g*24입 모음전,26800,26800,0
2018-06-01,2074682543,C012060,여자내의,[톰보이]플리츠 미들 스커트(9106132821),47700,40550,-7150
2018-06-01,244200399,E021020,커튼,다양한 디자인 대형 거실커튼(400cm이상) 면 창 커튼,94800,87220,-7580
2018-06-01,533158295,C012060,여자내의,[체리코코] mindy pants/린넨팬츠/일자핏/밴딩/하이웨스트,31000,31000,0
2018-06-01,2145477078,E011070,식탁,유러피안 아일랜드 식탁 홈바 쿡탑매립 가능,234000,210600,-23400
2018-06-01,214156175,D031010,주택수선재료,순앤수 내부용 4L KS 2급 순수 최고급형 수성페인트,10900,10900,0
2018-06-01,317024751,C012040,여자학생복,체크 숄 머플러 스타일 코디 패션 여성 가디건 담요,17890,17890,0
2018-06-01,618760687,L021020,장신구,스와로브스키 은침귀걸이 이어링 귀고리 유색 크리스탈 여성악세사리선물 패션쥬얼리,24800,24060,-740
2018-06-01,391923099,C012040,여자학생복,BL182-스트라이프 패턴 블라우스 여자카라블라우스 여,29010,29010,0
2018-06-01,919555120,A013140,북어채,용대리 황태포 38-40cm 5미 명태포 황태 북어포,14500,13780,-720
2018-06-01,106733747,A021010,커피,엔잭타 라이트블렌드2.5g×30포 수입커피 커피,99000,98000,-1000
2018-06-01,1820835664,D031010,주택수선재료,흑색 검정색 락카페인트 목재 철재 CL440 4L 조색,29000,29000,0
2018-06-01,378086121,C013050,운동복,싼타페더프라임 리무진 콘솔박스 팔걸이 쿠션 자동차,61430,55960,-5470
2018-06-01,1014305458,C013040,청바지,올젠 솔리드 면팬츠 3종택1(ZOY1PP1103)MDOZ,36000,36000,0
2018-06-01,1557341655,E061020,섬유유연제,컨센서스 대용량 섬유유연제 / 세탁세제 5.5L,11900,11900,0
2018-06-01,1865986986,C021040,실내화,윌슨 러쉬 프로2.5 테니스화(WRS322630) 그레이,159730,148550,-11180
2018-06-01,476826332,C012040,여자학생복,지나블리스 스트라이프 벨티드 롱 셔츠 1803092,19800,19800,0
2018-06-01,1292589192,C013020,티셔츠,기모목폴라티셔츠/긴목/반목/고급스판양면/남자/여자/,6000,5900,-100
2018-06-01,1153136776,C012040,여자학생복,[세인트마리]엘버 여름 골지 트임 가디건,49600,44640,-4960
2018-06-01,349476275,C013020,티셔츠,[LAP] #핫한반팔T 모음 18종택1(LAP_0416)/ 랩,11000,9900,-1100
2018-06-01,895621462,A016100,수박,수박 6호 (7kg미만/통),29900,14900,-15000
